,genre,file,audio,sr,zero_crossing_rate_mean,zero_crossing_rate_var,spectral_centroid_mean,spectral_centroid_var,rms_mean,rms_var,spectral_rolloff_mean,spectral_rolloff_var,mfcc01_mean,mfcc01_var,mfcc02_mean,mfcc02_var,mfcc03_mean,mfcc03_var,mfcc04_mean,mfcc04_var,mfcc05_mean,mfcc05_var,mfcc06_mean,mfcc06_var,mfcc07_mean,mfcc07_var,mfcc08_mean,mfcc08_var,mfcc09_mean,mfcc09_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,chroma01_mean,chroma01_var,chroma02_mean,chroma02_var,chroma03_mean,chroma03_var,chroma04_mean,chroma04_var,chroma05_mean,chroma05_var,chroma06_mean,chroma06_var,chroma07_mean,chroma07_var,chroma08_mean,chroma08_var,chroma09_mean,chroma09_var,chroma10_mean,chroma10_var,chroma11_mean,chroma11_var,chroma12_mean,chroma12_var,tempo
0,jazz,jazz.00007.wav,"[-0.02368164 -0.0335083  -0.02297974 ... -0.09701538 -0.05914307
 -0.01776123]",22050,0.06491582437474279,0.016395094043811297,1175.2186086411352,25381.964957363165,0.09328737184405327,0.0005175643807585667,1967.1077974759614,111690.31647132135,-291.9705,2538.1265,137.69984,910.2533,2.6473362,588.4848,35.658165,147.44246,-12.313128,120.36761,15.60498,84.97864,-6.7887726,93.78824,-2.8450751,64.141266,-3.7737763,63.194717,-3.4614394,130.07785,-1.7078484,176.64516,10.411185,254.7532,8.302555,197.42505,5.2136855,279.05798,0.32289362,426.2803,0.3902466,393.0057,-1.4703429,188.02852,-0.76864266,215.57584,-6.323998,230.8408,-5.503818,210.65468,0.24007027,0.11246013,0.2583588,0.13241473,0.16547202,0.040850814,0.2599981,0.1393096,0.17288485,0.049429774,0.2794747,0.15465744,0.10990049,0.03415791,0.114212416,0.050465446,0.11190101,0.05247373,0.15232153,0.04598314,0.33516994,0.17162219,0.166403,0.05514503,99.38401442307692
1,jazz,jazz.00005.wav,"[ 0.06652832  0.16467285  0.2319336  ...  0.00335693 -0.00650024
 -0.00723267]",22050,0.05798035559723658,0.014359381999712829,1275.5445498672975,132877.80646688826,0.10693189427256584,0.00041399928273675953,2504.7007774939902,1019295.217960523,-246.27443,9177.293,120.21053,770.6019,-0.9766388,892.13684,30.696602,202.24495,0.17293616,297.50006,23.16143,104.98728,0.4313876,168.78827,9.16699,81.32581,-0.56214124,153.33934,5.726498,185.6553,-3.753218,131.8637,4.230339,184.60376,-0.28523368,207.58774,7.447655,221.78311,0.70549464,261.08347,7.0812564,229.17854,0.88288313,405.9287,0.974251,332.78207,1.7270819,193.0366,-1.3540722,212.84537,0.30302775,0.11944905,0.16451626,0.05502304,0.1663174,0.05697193,0.25752336,0.10460903,0.18290365,0.060143106,0.22493047,0.1165924,0.1724937,0.04994435,0.22814906,0.07566712,0.40398523,0.15796676,0.28505912,0.077837914,0.293305,0.12250471,0.29645246,0.102408804,107.666015625
2,jazz,jazz.00003.wav,"[ 0.0295105   0.04818726  0.04190063 ... -0.02545166 -0.02603149
 -0.02374268]",22050,0.04469376719021111,0.010487608758032183,817.0256064389738,70047.37302974542,0.05911639854311943,0.000782204577313078,1420.3714881310098,244747.45041479345,-297.30292,9862.571,193.07446,874.2939,10.171171,1128.7507,-1.5964475,255.03947,3.3883607,146.04523,9.993822,103.379074,-7.2564507,144.48573,4.6935673,78.34202,-5.391065,88.36285,-2.8595288,89.927795,-10.230401,51.05127,0.3792567,100.86946,-4.969516,72.670906,3.238547,51.639397,-4.474768,41.184803,-1.8852346,47.354237,-2.2755752,54.609673,3.8763874,38.860344,0.34211782,50.061325,-2.2191534,56.314613,0.22569442,0.031528268,0.32342395,0.07384662,0.49257568,0.14777613,0.23903397,0.02889305,0.27265263,0.072644666,0.35292754,0.08596697,0.441164,0.09996941,0.21440458,0.024396017,0.28309312,0.08916633,0.22319578,0.03082993,0.3697766,0.08736847,0.3945492,0.10669987,123.046875
3,jazz,jazz.00006.wav,[0.08334351 0.14605713 0.14706421 ... 0.0085144  0.00469971 0.00369263],22050,0.048092062349554196,0.013441652707834921,1223.0313424393487,86273.94106884557,0.09803915545344352,0.0001750753228350948,2420.944899338943,304518.2119746759,-234.40953,6415.026,142.74026,1387.4264,-14.2967205,607.0132,51.963947,373.03094,-8.197965,197.15912,12.785138,126.31607,-4.2762494,198.17232,12.085669,119.06033,-13.715138,105.45395,-1.5637431,67.01263,-3.9804888,103.51009,4.9272647,65.871704,-3.9477925,55.26177,2.1964936,56.38338,-6.67365,57.24716,-9.764631,56.463608,-4.477752,59.224556,-5.545833,105.16491,-1.1712632,149.53975,-1.0995276,132.90285,0.22259255,0.05713212,0.19598766,0.038229294,0.29486653,0.10260802,0.34999147,0.11783769,0.24935727,0.060769573,0.3461802,0.10561829,0.37177765,0.14057948,0.20975909,0.056038693,0.20922892,0.07624644,0.21515237,0.06781842,0.31059855,0.10751567,0.3222084,0.12951396,135.99917763157896
4,jazz,jazz.00008.wav,[0.05685425 0.07565308 0.0402832  ... 0.03833008 0.03411865 0.02548218],22050,0.04632841540843849,0.014309105799248868,1306.914284710259,25038.420549245213,0.11784731820225716,0.0002470202654867531,2729.4742901141826,80644.44870104485,-189.98236,3074.2551,134.4189,522.35016,-25.65002,762.36163,45.729492,122.59599,8.180399,156.83209,21.443512,99.630394,-4.585944,124.9233,14.390953,133.16905,-12.663227,87.06746,10.280889,76.35994,-7.942295,69.49792,-1.1352844,57.14506,-5.053429,49.805557,2.414169,49.31858,-5.01387,39.26145,-2.1558046,45.15364,-4.238101,62.642567,1.8452005,68.11992,-0.4446255,75.25723,-4.774384,64.65537,0.3864317,0.117432855,0.36357105,0.0901703,0.35364708,0.099424906,0.36936146,0.12770185,0.30178288,0.06281012,0.35073793,0.1080081,0.33848426,0.08035159,0.37530917,0.09105853,0.3022559,0.059919395,0.31865048,0.06774778,0.45982927,0.1162155,0.36774823,0.07124978,107.666015625
5,jazz,jazz.00009.wav,"[ 0.08502197  0.14257812  0.15310669 ... -0.01849365 -0.02334595
 -0.02868652]",22050,0.03173348977693409,0.0068289577328187814,759.2717539696635,13840.926680356686,0.08484212569892406,0.00019375280669570185,1153.641357421875,57638.66681043389,-296.7094,1304.4323,172.36177,402.67886,16.870981,241.6577,18.944475,103.822,1.371419,97.86014,14.397394,86.21166,1.0102302,90.62645,9.526041,62.90338,-7.4072003,73.08347,3.5161068,48.968067,-7.660177,56.542904,-0.1054814,58.614586,-7.948271,99.61025,-3.1879528,103.51708,-8.082698,78.55015,-4.0588837,91.019966,-0.8463893,88.98673,-3.867245,65.59715,-2.8241124,87.68125,-6.922983,63.05075,0.20210567,0.03466077,0.3675419,0.13967468,0.26148352,0.077058144,0.19757304,0.058968488,0.24138965,0.09885125,0.2031106,0.038054135,0.32710823,0.13768724,0.27825257,0.08749958,0.34814954,0.108265355,0.25812006,0.076496415,0.25895694,0.0891107,0.25924012,0.09624111,112.34714673913044
6,jazz,jazz.00000.wav,"[-0.00924683 -0.01177979 -0.01370239 ...  0.0071106   0.00561523
  0.00561523]",22050,0.07851554603772386,0.030499703912651683,1504.7701711629757,227665.40938916936,0.04650749694555998,0.0007249109215026397,2800.8568584735576,1072616.9619559199,-252.09982,12157.225,137.90314,1465.4673,-11.12893,731.8261,8.363254,119.988,0.7312536,117.53523,1.5888377,53.209347,-3.731885,56.28346,-4.1349125,38.266983,-5.4992824,43.680332,-2.6316204,37.64398,-3.5324266,43.067966,-3.143262,59.09873,-1.8463441,43.779278,-0.9992475,41.175587,-2.57927,48.968216,-1.9601097,50.278206,-1.5086894,41.0908,0.21448858,55.625286,-1.995491,50.00376,-3.354487,49.878914,0.44139007,0.11915021,0.30552757,0.056785885,0.32529682,0.07748662,0.40065512,0.08574077,0.45663974,0.10686661,0.33318195,0.09982008,0.21843949,0.038879707,0.36186188,0.07947071,0.3874543,0.096965484,0.32182175,0.06768231,0.2842525,0.073057674,0.2969727,0.06637896,123.046875
7,jazz,jazz.00001.wav,[0.00241089 0.00549316 0.00866699 ... 0.00201416 0.00250244 0.00119019],22050,0.05939301340376886,0.021632489402941556,1268.9397066409113,102922.96497559766,0.022661456558853387,0.00015331796716894807,2415.9591346153843,591403.50850831,-345.75772,10113.176,146.97388,1288.6447,-0.50894165,521.94574,22.634275,134.67113,5.8155456,96.691154,10.363343,55.179626,-0.15792406,53.92851,-1.7160186,57.05857,-6.119844,46.94815,-0.522886,48.356503,1.0385453,52.09065,1.2205255,46.223934,-1.9355482,64.48041,-5.546963,62.344246,-4.404171,53.580097,-2.5870383,44.141426,-5.189254,43.2566,-5.428416,45.679005,-3.1186113,52.634308,-0.798572,98.26105,0.3541681,0.098806165,0.32344395,0.08273562,0.32724616,0.07555396,0.29787716,0.07267804,0.36571163,0.062282685,0.5555827,0.147674,0.37338063,0.07164822,0.2771448,0.075400986,0.23290308,0.04782262,0.25720868,0.06827964,0.23892243,0.052508608,0.33280793,0.101830855,135.99917763157896
8,jazz,jazz.00004.wav,[0.12203979 0.22442627 0.19665527 ... 0.0116272  0.03677368 0.05535889],22050,0.04781248368828998,0.017395582078099884,1044.4134146256124,48000.49801443256,0.10808331742882729,0.0009991190474789476,1847.358342097356,295832.2903412267,-270.31265,2917.0598,137.58981,546.8804,5.64002,345.07834,42.490513,220.5096,-7.95947,175.91788,9.938035,103.67771,-6.8108325,81.89665,8.250217,55.442184,-6.1824946,50.990444,5.4758544,52.852962,-5.4403186,56.807774,-5.177866,82.32533,-6.9937267,77.46609,-3.2327619,78.75151,-2.0183141,98.77453,4.39564,162.92766,1.9801577,181.2388,4.9817076,162.34177,6.5850415,393.37378,-2.4146407,473.1703,0.08935627,0.018923752,0.07805214,0.016981639,0.1830177,0.073676,0.27261367,0.15394558,0.13272262,0.042340253,0.100789316,0.022607176,0.29440418,0.16252607,0.19620019,0.078912966,0.1353558,0.053869825,0.21231632,0.13272788,0.15576074,0.043671254,0.21216895,0.13828354,95.703125
9,jazz,jazz.00002.wav,[0.00335693 0.00491333 0.00378418 ... 0.05691528 0.05136108 0.03808594],22050,0.05793793030221226,0.020385157249548435,1069.480332457027,72581.83592185318,0.08038737885653972,0.0004776898783115713,1902.019550030048,220573.74027731895,-256.9818,6372.4526,175.33954,1215.997,-44.81545,1082.3687,25.638649,404.80746,-4.25749,234.83124,-0.22635283,112.45631,-11.3197775,94.202034,-9.186364,73.752556,-4.102288,86.01316,-8.3070135,106.35198,-22.554071,99.03966,-7.60941,71.08261,-7.656197,57.58762,-11.744767,80.39366,-8.174172,70.17964,-7.5016193,39.93092,-12.296843,54.68225,-6.7680964,45.68299,-3.500232,41.43342,-8.648592,73.394966,0.39909402,0.14255388,0.32700226,0.09940679,0.22919041,0.07030794,0.18744588,0.07548941,0.1293044,0.016082397,0.2398969,0.05496534,0.20703113,0.057989497,0.18869376,0.04730485,0.24313666,0.07149465,0.3116547,0.058625385,0.44209412,0.14593188,0.30847466,0.07408424,107.666015625
